C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 1 - Codegasm\Test App 1 - Codegasm.v12.suo,Other file,cfdfc654bdaf9f369a16a64347d0b0dc
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 2 - Demo\App.config,Other file,5a56fe1c64559c73730289c4d579d846
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 2 - Demo\Program.cs,Other file,0f8224b83c4015fc24d8d24d4e2d8d67
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 2 - Demo\Test App 2 - Demo.csproj,Other file,571e4fb06b58fd59d21c7ca8a0d664f0
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 2 - Demo\Test App 2 - Demo.sln,Other file,b0c206023a956af0b1217fbac6f8d9bb
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 2 - Demo\Test App 2 - Demo.v12.suo,Other file,f98d0a8f263a7ed793e27d05ec92699c
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 3 - Jarvis\App.config,Other file,fc4c034852574a14d42a84979905c003
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 3 - Jarvis\Jarvis.csproj,Other file,d55c12b45cc58dae38c36c53edac3ba9
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 3 - Jarvis\Jarvis.sln,Other file,f6498917a4745d007689c6686787849e
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 3 - Jarvis\Program.cs,Other file,7640b70cbfac64b5c24db1234f8ada05
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 4 - Drunk PC\App.config,Other file,168f58a1779644fa3396b18ef3a06edb
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 4 - Drunk PC\DrunkPC.csproj,Other file,f99facb1d831c83ba3a06577a1abdf4a
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 4 - Drunk PC\DrunkPC.sln,Other file,980a13d458fde60d879fbedc282c8b8a
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 4 - Drunk PC\Program.cs,Other file,7fede6ec166fcc6086839df53c11a646
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 5 - Simple Web Browser\App.config,Other file,091a6e1c39fc56c7ef9f5572212ccf48
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 5 - Simple Web Browser\Form1.cs,Other file,0462b91c82432ce9d8114d054dff380a
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 5 - Simple Web Browser\Form1.Designer.cs,Other file,6512a99a5742f2eb8d849fb35dee0ed7
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 5 - Simple Web Browser\Form1.resx,Other file,cfe05d68db534ef25aa2828c2be9ec85
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 5 - Simple Web Browser\Program.cs,Other file,9c1faf369a55b1aa1afbddb7e2332661
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 5 - Simple Web Browser\SimpleWebBrowser.csproj,Other file,1136cb3d30d29bced6abd15e28374bf3
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 5 - Simple Web Browser\SimpleWebBrowser.sln,Other file,12ab8c5882f7bfb1acbb481f037d789e
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 5 - Simple Web Browser\SimpleWebBrowser.v12.suo,Other file,f6979fde6a20bdc2b59e8bce24cde53a
C:\Users\brode\Downloads\Codegasm-master\Codegasm-master\Test App 6 - Hard Drive LED\HDDLED.sln,Other file,33b2d09e1370520b9294ac213e3eda37
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\eclipse-in-5-steps\.gitignore,Other file,3703f27abbeed3fbd9fc4505d9b2bd2b
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\eclipse-in-5-steps\readme.md,Other file,e6d1f146753093935897a493180fe75d
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\choose-java-installation-for-your-os.png,Other file,e506d253be39205b17234eb92995a795
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\eclipse-choose-installation.png,Other file,0a28f9e2be38499ebc0742886c66e32e
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\google-search-download-eclipse.png,Other file,5ad45e18d0ee29299486c44cfbd510a7
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\google-search-install-java-jdk.png,Other file,d4d056ff25af6d37eb62196224e864af
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\import-java-eclipse-project-1.png,Other file,c2f9d39c1060ea9dd3fe0495bf5630e9
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\import-java-eclipse-project-2.png,Other file,768f41658f563e5b7ed0e0dcd771e0df
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\import-java-eclipse-project-3.png,Other file,84b257f62a1de7d6b2c1ca4bd2342892
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\import-java-eclipse-project-4.png,Other file,b157000ef4baa44aff3452bba3bd3b60
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\import-maven-project-into-eclipse-1.png,Other file,9801986a31123306db628bbfc3caeeb0
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\import-maven-project-into-eclipse-2.png,Other file,48fa5650fdb93783541b3959ecb6af39
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\import-maven-project-into-eclipse-3.png,Other file,911b76670f451c9f6cec5925f07214c8
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\import-maven-project-into-eclipse-4.png,Other file,a364ad6699c9a3eacab9667a0233da3c
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\java-installation-confirmation.png,Other file,23e3206081d254803b820f24b1e30ccc
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\java-installation-first-step.png,Other file,1822bbbad77f3173929bf8aa04fd2cbd
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\java-installation-icon.png,Other file,ce2729563b3633f6cf4b75f660029ad4
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\java-installation-second-step.png,Other file,daeb28abcd8463b88e8b7d544290c762
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\java-version-command.png,Other file,4ae2532cc14d4acec8add30c2397fbca
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\maven-check-installation.png,Other file,385a5e543ba494a796e0bc42dd5012db
C:\Users\brode\Downloads\getting-started-in-5-steps-master\getting-started-in-5-steps-master\images\maven-download.png,Other file,a5f09e6a4975ccd353f495f439aad3db
